wl,qe_hama
nm,electrons per photon
1186.536814,0.403132
1181.555738,0.778747
1177.570878,1.242786
1174.084125,1.824905
1170.846426,2.380974
1167.85778,3.026772
1164.620081,3.676973
1161.133329,4.419413
1157.397522,5.137753
1154.159823,5.769432
1151.669285,6.430357
1149.676855,7.150597
1147.186317,8.025141
1143.450511,8.734578
1140.461865,9.441439
1137.47322,10.063283
1136.227951,10.821479
1133.48836,11.536857
1131.246876,12.340801
1128.507284,13.182675
1126.2658,13.992787
1125.020531,14.762331
1122.529994,15.55219
1121.533778,16.443899
1118.794187,17.242423
1116.801757,18.034452
1113.564058,18.84913
1111.322574,19.8034
1109.08109,20.762199
1107.337713,21.714659
1105.096229,22.649776
1103.352853,23.578322
1101.360423,24.514745
1100.115154,25.468305
1098.371777,26.436692
1096.628401,27.407929
1094.386917,28.394712
1092.394487,29.379318
1090.402057,30.367048
1088.65868,31.351221
1087.164358,32.331379
1085.670035,33.314235
1083.926659,34.307924
1082.183282,35.304573
1080.190852,36.312809
1078.696529,37.307294
1076.953153,38.313638
1075.209776,39.323743
1072.968293,40.355359
1070.975862,41.381411
1068.983432,42.411545
1067.240056,43.435386
1065.496679,44.462321
1063.753303,45.493138
1062.25898,46.515916
1060.764658,47.541574
1060.017496,48.535904
1058.523174,49.567361
1057.277905,50.589549
1055.783582,51.625286
1054.289259,52.665533
1052.794937,53.707942
1051.05156,54.765747
1049.806292,55.801381
1048.311969,56.852719
1047.0667,57.893019
1046.070485,58.921771
1044.576162,59.982152
1042.583732,61.074494
1039.844141,62.215119
1037.602657,63.331047
1035.610226,64.304666
1034.614011,65.219486
1033.368742,66.054155
1031.625366,66.923602
1028.636721,67.745692
1025.399022,68.555714
1022.161323,69.403936
1019.172677,70.240532
1015.934978,71.133177
1012.697279,72.065002
1009.708634,73.017636
1006.719989,73.976696
1002.735128,74.813277
998.501214,75.64023
994.018246,76.356793
989.037171,77.016417
983.308934,77.638045
977.331643,78.286623
972.599622,79.121486
968.365707,79.922728
963.384632,80.65325
957.158288,81.356931
949.686674,81.996772
942.215061,82.64591
934.743448,83.198157
927.769942,83.823432
921.294544,84.263337
915.815361,84.581202
910.087124,84.740871
903.86078,85.176006
897.385382,85.52522
891.159037,85.815857
886.427016,85.660155
881.44594,85.566773
876.464865,85.472774
871.483789,85.336336
867.249875,85.008708
863.514068,84.59027
859.0311,84.360014
854.299079,84.111567
849.816111,83.795543
845.83125,83.347223
841.597336,83.081477
837.612476,82.706037
833.627616,82.326618
830.140863,81.731813
826.156002,81.345453
821.922088,81.021033
818.186282,80.601863
814.699529,80.029526
811.710883,79.404009
807.726023,78.997551
804.23927,78.537449
800.25441,78.122063
797.016711,77.501965
793.280904,77.01083
789.794151,76.534402
786.556452,75.985583
783.318753,75.432434
780.330108,74.76415
776.843355,74.269161
773.85471,73.678444
770.617011,73.10648
767.130258,72.597917
763.643505,71.995313
760.405806,71.363865
757.168107,70.637447
753.681354,70.018039
749.945547,69.416
746.458795,68.87623
742.972042,68.377021
739.983396,67.780916
737.243805,67.065329
733.757052,66.505235
730.519353,65.916757
727.281654,65.322734
724.542062,64.585327
721.304363,63.933639
718.066664,63.323478
715.078019,62.638348
711.84032,61.968788
708.602621,61.29368
705.613976,60.591078
702.376277,60.000111
699.387631,59.333964
696.149932,58.584956
693.161287,57.710309
689.42548,56.890279
685.689674,56.160354
681.953867,55.422434
678.467114,54.655981
674.980361,53.831418
671.244555,52.916034
667.508748,52.042428
663.772942,51.262184
660.535242,50.588213
657.546597,49.836661
654.308898,49.044794
651.071199,48.193359
647.584446,47.404335
644.097693,46.606273
640.610941,45.852943
637.373241,45.074038
633.637435,44.428552
629.652574,43.792716
625.41866,43.166002
622.180961,42.298967
618.943262,41.367757
615.954617,40.355505
611.969756,39.508319
608.732057,38.491221
605.245305,37.591681
